DateTime,AddedIPs,RemovedIPs
1477974903,51,20
1477975460,5,12
1477975504,1,20
1477976102,0,4
1477976703,0,2
1477977399,49,25
1477977902,0,2
1477978203,0,5
1477978802,1,2
1477979323,10,11
1477979709,49,126
1477980304,25,3
1477980904,30,25
1477981243,3,10
1477981502,23,27
1477981806,2,27
1477982404,1,29
1477983164,56,20
1477983602,1,8
1477984203,1,5
1477984802,35,5
1477985064,12,12
1477985402,4,0
1477985706,0,24
1477986304,7,9
1477986991,63,28
1477987504,29,12
1477988104,15,30
1477988854,13,14
1477989303,31,9
1477989858,2,0
1477989903,17,3
1477990503,6,6
1477990863,4,15
1477991102,9,1
1477991707,1,102
1477992501,32,3
1477992745,6,18
1477992902,23,27
1477993504,1,6
1477994104,29,7
1477994665,5,16
1477994703,1,12
1477995005,5,13
1477995605,2,16
1477996203,0,2
1477996593,4,24
1477996803,0,10
1477997405,3,37
1477998003,55,4
1477998509,3,10
1477998604,1,6
1477999204,1,4
1477999804,10,16
1478000433,9,26
1478001003,43,29
1478001603,7,2
1478002346,25,6
1478002504,0,16
1478003103,94,4
1478003702,2,1
1478004256,4,9
1478004507,0,20
1478004603,1,18
1478005203,27,4
1478005506,0,21
1478006220,20,12
1478006407,2,51
1478007003,27,26
1478007603,14,6
1478008099,9,11
1478008203,1,10
1478008505,0,29
1478009103,19,8
1478010081,58,16
1478010304,7,9
1478010903,21,14
1478011206,42,13
1478011951,17,51
1478012406,14,88
1478013004,9,13
1478013606,34,36
1478013856,8,13
1478014204,33,37
1478014808,22,104
1478015407,16,50
1478015782,3,13
1478016002,1,4
1478016604,8,18
1478017203,89,7
1478017701,13,23
1478018103,1,53
1478018705,22,29
1478019305,31,38
1478019657,4,21
1478019907,3,72
1478020502,30,23
1478020803,29,7
1478021548,4,23
1478022005,26,30
1478022306,18,66
1478022903,19,9
1478023462,4,14
1478023803,6,34
1478024409,7,53
1478025002,18,6
1478025394,4,13
1478025604,4,1
1478026204,21,27
1478026806,37,8
1478027304,8,16
1478027406,27,117
1478028004,43,3
1478028603,114,5
1478029242,7,70
1478029506,5,72
1478030102,55,21
1478030405,8,21
1478031150,44,63
1478031603,116,11
1478032203,5,4
1478032804,0,11
1478033062,11,11
1478033409,24,47
1478033773,1,0
1478034003,37,2
1478034602,10,4
1478034995,9,15
1478035205,9,15
1478035805,5,55
1478036176,54,0
1478036402,1,3
1478036899,9,15
1478037004,4,4
1478037607,0,26
1478038204,22,73
1478038827,31,35
1478039117,2,9
1478039702,37,10
1478040754,9,77
1478041203,1,0
1478041804,0,25
1478042403,0,18
1478042658,12,18
1478043003,22,5
1478043605,3,62
1478044202,5,11
1478044577,7,13
1478044805,5,13
1478045404,26,23
1478046004,36,19
1478046502,14,7
1478046603,6,53
1478047203,1,3
1478047803,0,1
1478048464,44,26
1478049005,1,57
1478049603,0,20
1478050348,26,14
1478050804,2,3
1478051404,5,24
1478052003,1,5
1478052292,6,13
1478052306,0,45
1478052902,0,34
1478053204,0,23
1478053805,6,71
1478054196,8,15
1478054402,0,3
1478055002,1,0
1478055602,8,1
1478056103,6,4
1478056503,2,27
1478057103,24,1
1478057708,0,57
1478058031,2,9
1478058303,3,4
1478058903,0,2
1478059502,0,3
1478059939,8,12
1478060104,13,17
1478060714,25,40
1478061303,1,61
1478061858,9,15
1478061903,39,2
1478062502,2,0
1478063048,1,0
1478063103,1,1
1478063792,34,65
1478064003,25,1
1478064604,1,4
1478065202,0,3
1478065705,14,9
1478065802,0,1
1478066406,1,55
1478067002,1,24
1478067626,10,39
1478067903,0,17
1478068503,34,2
1478069103,0,5
1478069542,12,17
1478070005,3,49
1478070602,27,3
1478070906,1,29
1478071453,21,12
1478071503,1,4
1478072104,9,2
1478072704,3,10
1478073378,28,72
1478073905,37,31
1478074504,0,18
1478075299,19,39
1478075703,26,4
1478076304,0,14
1478076904,2,5
1478077266,5,19
1478077704,1,9
1478078103,12,5
1478078702,90,6
1478079136,6,16
1478079603,2,21
1478079866,55,0
1478080204,3,8
1478080802,8,24
1478081310,7,21
1478081703,5,19
1478082303,33,2
1478082904,33,11
1478083221,7,3
1478083504,2,3
1478084106,27,36
1478084703,0,23
1478085141,5,11
1478085302,0,1
1478085904,5,9
1478086504,1,10
1478087060,3,12
1478087105,11,32
1478087703,3,10
1478088304,1,17
1478088987,39,22
1478089206,24,65
1478089803,39,21
1478090105,3,2
