DateTime,AddedIPs,RemovedIPs
1477851353,184,0
1477852322,13,8
1477852950,54,0
1477855861,1,0
1477856679,5,263
1477857363,51,1
1477860000,61,0
1477861206,1,0
1477862154,169,0
1477863600,51,0
1477865043,0,1
1477866722,15,16
1477867428,3,3
1477868465,47,0
1477870800,58,0
1477870911,255,0
1477872724,15,21
1477873200,185,780
1477874400,53,0
1477876564,0,1
1477878483,56,8
1477880403,1,1
1477881122,13,12
1477881600,49,0
1477883816,61,0
1477884245,0,1
1477885305,55,0
1477888084,2,1
1477888800,67,1
1477889056,3,4
1477892400,75,533
1477894589,11,0
1477895775,15,11
1477896000,61,0
1477897266,2,0
1477900003,82,7
1477900343,1,0
1477903442,76,1
1477905317,77,0
1477907284,73,1
1477908077,1,0
1477909862,3,0
1477909922,11,25
1477910400,211,1
1477911124,260,3
1477914000,210,0
1477914964,1,1
1477916400,409,180
1477917600,237,0
1477918805,0,1
1477919825,16,19
1477921629,298,3
1477924322,13,13
1477924800,267,0
1477926724,0,508
1477926934,183,0
1477927578,507,0
1477928401,224,0
1477930563,81,0
1477931460,2,0
1477932000,221,0
1477932720,264,4
1477934403,105,0
1477935601,0,489
1477937744,168,0
1477938243,1,1
1477938722,7,18
1477939201,6,0
1477939291,253,0
1477944062,5,8
1477945923,1,1
1477947660,10,1
1477948201,2,0
1477948639,149,0
1477953122,8,18
1477953605,0,1
1477953842,5,0
1477955052,6,1
1477955514,254,0
1477959144,127,0
1477961283,23,22
1477966036,8,2
1477967456,71,814
1477967522,7,10
1477968963,10,1
1477972805,2,0
1477973801,54,8
1477975200,4,1
1477977111,4,3
1477978800,0,558
1477980483,0,1
1477981867,20,0
1477981922,9,14
1477982400,5,0
1477984326,1,0
1477987289,4,5
1477989601,8,0
1477990863,2,0
1477992245,133,2
1477996322,13,8
1477996800,6,1
1477998173,4,9
1477998715,0,1018
1477999924,249,1
1478002200,215,137
1478003765,1,256
1478004118,8,0
1478006225,10,19
1478007067,1,0
1478009221,6,258
1478010001,175,0
1478010394,508,0
1478010722,7,10
1478012465,2,1
1478017868,1,0
1478018401,8,0
1478019667,1,0
1478020304,5,3
1478020549,165,0
1478022000,0,1027
1478025121,11,12
1478025600,9,0
1478025704,0,252
1478026805,1,1
1478027822,0,251
1478029200,1,0
1478029318,254,0
1478030643,0,1
1478031124,3,5
1478031632,182,2
1478034067,15,1
1478038324,1,1
1478039465,0,256
1478039522,8,10
1478040600,6,1
1478041911,0,255
1478042163,6,2
1478043066,211,0
1478046004,7,18
1478047200,5,0
1478049844,1,0
1478052712,7,6
1478052920,143,864
1478053683,3,4
1478053921,7,8
1478054521,7,1
1478057524,1,4
1478061364,3,2
